conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,source_keyword
2047635412555112844,Fri Apr 24 11:15:00 +0000 2026,1,Penangkapan ikan sapu-sapu sebagai spesies invasif di sungai tercemar perlu dibarengi dengan pemulihan kualitas air secara sistemik agar intervensi tersebut efektif dalam mengembalikan keseimbangan ekosistem alami. https://t.co/aa2Ry8Nhbw,2047635412555112844,,,in,,1,0,3,https://x.com/undefined/status/2047635412555112844,483310591,,ikan sapu sapu
2048256471302131997,Sun Apr 26 04:22:52 +0000 2026,2,Ikan Sapu-sapu Kuasai Ciliwung Dedie Rachim Siapkan Penanganan Berbasis Syariah di 3 Titik ~TR Klik untuk baca: https://t.co/RL5kpxzen4,2048256471302131997,,,in,,0,1,0,https://x.com/undefined/status/2048256471302131997,23343960,,ikan sapu sapu
2047230429128986664,Thu Apr 23 09:41:19 +0000 2026,2,@myshawti Serius ada ikan sapu warna oren? Apakah pada akhirnya semua akan jadi Gerindra ?,2047249449236545713,,myshawti,in,,0,1,0,https://x.com/undefined/status/2047249449236545713,1650029823824400384,,ikan sapu sapu
2048355625978188240,Mon Apr 27 03:36:49 +0000 2026,1,@piyopikavet mitos sih tapi sedikit false equivalence untuk dibandingin sama ular di laut yang sudah beradaptasi ke kadar garam tinggi kayak ngomong ikan sapu sapu dikasih garem gapapa karena ada ikan di laut. kadar dan banyak garam nya per spesies kan beda-beda kuat nya,2048607270859321393,,piyopikavet,in,,0,0,0,https://x.com/undefined/status/2048607270859321393,1814148144046964737,,ikan sapu sapu
2047657239708901621,Fri Apr 24 14:35:48 +0000 2026,1,@AgilTriatm64429 Ternyata enak ya bang daging ikan sapu-sapu Kalau dia mengiyakan fix gulingkan gerobaknya,2047685946427216369,,AgilTriatm64429,in,,0,1,1,https://x.com/undefined/status/2047685946427216369,1079734702414516225,,ikan sapu sapu
2047342887386648945,Thu Apr 23 15:52:36 +0000 2026,0,mengubur ikan sapu-sapu yang invasif secara massal juga termasuk penyiksaan sih tapi kalau yg ini emng kurang kerjaan banget kalau urgensinya cuman lucu-lucuan,2047342887386648945,,,in,,0,0,0,https://x.com/undefined/status/2047342887386648945,1139459351133868032,,ikan sapu sapu
2048030564528394316,Sat Apr 25 13:25:11 +0000 2026,54,Kosan Om Kuna edisi Somay Ikan Sapu-sapu #jujutsukaisen https://t.co/GZDyyx5YKL,2048030564528394316,https://pbs.twimg.com/media/HGwQ7_waUAAQ7gz.jpg,,in,,0,2,10,https://x.com/undefined/status/2048030564528394316,1627564625276579841,,ikan sapu sapu
2048323704887890118,Sun Apr 26 08:50:01 +0000 2026,31,Ikan sapu sapu bisa ga ya menjernihkan pikiranku ,2048323704887890118,,,in,,0,36,4,https://x.com/undefined/status/2048323704887890118,1419263989452656646,,ikan sapu sapu
2047208194133647817,Thu Apr 23 08:06:32 +0000 2026,1,@AgilTriatm64429 Eh ikan sapu sapu enak kah rasanya?,2047225594937745603,,AgilTriatm64429,in,,0,1,0,https://x.com/undefined/status/2047225594937745603,1293579875555524608,,ikan sapu sapu
2049636632090001599,Wed Apr 29 23:47:08 +0000 2026,0,Sushi Ikan Sapu-sapu.,2049636632090001599,,,in,,0,0,0,https://x.com/undefined/status/2049636632090001599,835341232876343296,,ikan sapu sapu
